username,password,role,description
jaga,212006,faculty,Admin (EMPID=username)
F001,admin123,faculty,Sample faculty (if present)
23MID0281,pass123,student,Seeded student 1
23MID0282,pass123,student,Seeded student 2
23MID0283,pass123,student,Seeded student 3
23MID0284,pass123,student,Seeded student 4
23MID0285,pass123,student,Seeded student 5
23MID0286,pass123,student,Seeded student 6
23MID0287,pass123,student,Seeded student 7
23MID0288,pass123,student,Seeded student 8
23MID0289,pass123,student,Seeded student 9
23MID0290,pass123,student,Seeded student 10
23MID0291,pass123,student,Seeded student 11
23MID0292,pass123,student,Seeded student 12
23MID0293,pass123,student,Seeded student 13
23MID0294,pass123,student,Seeded student 14
23MID0295,pass123,student,Seeded student 15
23MID0296,pass123,student,Seeded student 16
23MID0297,pass123,student,Seeded student 17
23MID0298,pass123,student,Seeded student 18
23MID0299,pass123,student,Seeded student 19
23MID0300,pass123,student,Seeded student 20
23MID0301,pass123,student,Seeded student 21
23MID0302,pass123,student,Seeded student 22
23MID0303,pass123,student,Seeded student 23
23MID0304,pass123,student,Seeded student 24
23MID0305,pass123,student,Seeded student 25
