username,password,role,description
jaga,212006,faculty,Admin (EMPID=username)
FAC001,fac123,faculty,Introduction to Innovation Project
FAC002,fac123,faculty,Cloud Computing
FAC003,fac123,faculty,Artificial Intelligence
FAC004,fac123,faculty,Business Intelligence
FAC005,fac123,faculty,Lean Startup
FAC006,fac123,faculty,Soft Skills
FAC007,fac123,faculty,Data Science Programming

23MID1001,stud123,student,Student 1
23MID1002,stud123,student,Student 2
23MID1003,stud123,student,Student 3
23MID1004,stud123,student,Student 4
23MID1005,stud123,student,Student 5
23MID1006,stud123,student,Student 6
23MID1007,stud123,student,Student 7
23MID1008,stud123,student,Student 8
23MID1009,stud123,student,Student 9
23MID1010,stud123,student,Student 10
23MID1011,stud123,student,Student 11
23MID1012,stud123,student,Student 12
23MID1013,stud123,student,Student 13
23MID1014,stud123,student,Student 14
23MID1015,stud123,student,Student 15
23MID1016,stud123,student,Student 16
23MID1017,stud123,student,Student 17
23MID1018,stud123,student,Student 18
23MID1019,stud123,student,Student 19
23MID1020,stud123,student,Student 20
23MID1021,stud123,student,Student 21
23MID1022,stud123,student,Student 22
23MID1023,stud123,student,Student 23
23MID1024,stud123,student,Student 24
23MID1025,stud123,student,Student 25
23MID1026,stud123,student,Student 26
23MID1027,stud123,student,Student 27
23MID1028,stud123,student,Student 28
23MID1029,stud123,student,Student 29
23MID1030,stud123,student,Student 30
23MID1031,stud123,student,Student 31
23MID1032,stud123,student,Student 32
23MID1033,stud123,student,Student 33
23MID1034,stud123,student,Student 34
23MID1035,stud123,student,Student 35
23MID1036,stud123,student,Student 36
23MID1037,stud123,student,Student 37
23MID1038,stud123,student,Student 38
23MID1039,stud123,student,Student 39
23MID1040,stud123,student,Student 40
23MID1041,stud123,student,Student 41
23MID1042,stud123,student,Student 42
23MID1043,stud123,student,Student 43
23MID1044,stud123,student,Student 44
23MID1045,stud123,student,Student 45
23MID1046,stud123,student,Student 46
23MID1047,stud123,student,Student 47
23MID1048,stud123,student,Student 48
23MID1049,stud123,student,Student 49
23MID1050,stud123,student,Student 50
23MID1051,stud123,student,Student 51
23MID1052,stud123,student,Student 52
23MID1053,stud123,student,Student 53
23MID1054,stud123,student,Student 54
23MID1055,stud123,student,Student 55
23MID1056,stud123,student,Student 56
23MID1057,stud123,student,Student 57
23MID1058,stud123,student,Student 58
23MID1059,stud123,student,Student 59
23MID1060,stud123,student,Student 60
23MID1061,stud123,student,Student 61
23MID1062,stud123,student,Student 62
23MID1063,stud123,student,Student 63
23MID1064,stud123,student,Student 64
23MID1065,stud123,student,Student 65
23MID1066,stud123,student,Student 66
23MID1067,stud123,student,Student 67
23MID1068,stud123,student,Student 68
23MID1069,stud123,student,Student 69
23MID1070,stud123,student,Student 70
